frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
70,144480,31317.0,106476168,9280266,31222721,2826803,39014446,144480,53867,6291560,9578197,1536006,42819,609170,2600640
71,144480,32133.9,109254376,9589530,32954441,2825895,39069445,144480,53567,6499161,10469944,1610357,42888,610847,2600640
72,144480,31394.4,106738750,9368802,31192252,2851120,38957855,144480,53453,6336862,9525938,1538464,42994,612647,2600640
73,144480,33706.3,114601420,9693876,32218321,3648710,43586227,144480,53927,6410069,9864868,1572151,43177,615290,2600640
74,144480,32061.2,109007672,9784180,31820486,2929824,39610401,144480,53617,6457287,9645442,1526496,43381,617536,2600640
75,144480,32208.9,109510056,9721858,32069808,2949271,39839536,144480,53844,6483634,9759582,1539258,43504,619443,2600640
76,144480,32157.7,109336010,9643352,32171862,2941813,39661121,144480,54003,6498929,9913418,1536325,43636,620585,2600640
77,144480,32826.9,111610780,9877714,32703095,3040963,40481548,144480,53862,6631497,9971817,1559735,43771,624440,2600640
78,144480,32254.9,109666184,9755654,32053259,2950023,39828054,144480,53909,6537655,9721717,1554417,43924,625763,2600640
79,144480,32425.4,110246122,9631010,32345775,2984965,40186663,144480,53836,6592455,9808749,1538622,44110,628148,2600640
80,144480,40094.5,136321374,10634010,39353965,4507150,52125066,144480,53785,8569574,12362287,2125068,44206,630502,2600640
81,144480,36554.0,124279653,10473357,37765858,3251171,45336999,144480,53641,8015466,12220693,1913944,44290,632088,2600640
82,144480,40849.9,138887042,11623954,40737705,4369968,50325028,144480,53518,8066148,13652599,1907731,44352,633379,2600640
83,144480,37590.3,127806411,10014054,35260073,4399508,49733827,144480,53912,7106677,10791640,1751655,44498,635275,2600640
84,144480,32427.5,110253262,9637402,32159408,2976357,40227161,144480,53283,6664462,9706003,1527729,44666,637630,2600640
85,144480,32530.0,110601486,9684730,32528534,2977979,40076192,144480,53858,6688457,9955912,1545872,44809,640226,2600640
86,144480,32913.4,111905186,9764698,32769557,3021335,40689016,144480,53800,6585704,10192444,1557008,44884,641985,2600640
87,144480,32437.6,110287840,9669838,32367066,2951711,40019395,144480,53895,6684298,9829769,1553448,44972,643601,2600640
88,144480,32661.5,111048620,9828890,32450924,2994161,40332914,144480,53488,6619406,9926837,1548530,45065,645366,2600640
89,144480,36708.2,124807778,9871084,33868451,4523959,49078969,144480,53902,6720849,10466275,1610574,45183,647559,2600640
90,144480,32351.1,109993332,9667628,32176123,2951462,39879750,144480,53607,6540080,9772356,1537297,45310,649143,2600640
91,144480,32329.7,109920334,9775136,32136469,2966666,39909346,144480,53769,6615641,9745266,1540123,45511,652287,2600640
92,144480,32488.8,110461444,9703396,32360092,2951936,40306682,144480,53890,6602731,9821580,1542885,45643,655222,2600640
93,144480,32357.9,110016792,9658210,32139689,2953514,39966401,144480,53603,6594141,9723401,1535592,45638,655211,2600640
94,144480,36614.9,124490564,9924090,34429742,4252763,48507122,144480,53707,6939016,10606748,1685445,45750,657498,2600640
95,144480,32468.2,110391336,9679868,32220473,3071060,40102508,144480,53656,6575066,9824626,1543046,45889,659638,2600640
96,144480,32483.0,110442064,9682588,32350188,2955088,40116969,144480,53849,6653609,9870041,1543933,46035,661562,2600640
97,144480,32696.8,111168814,9753002,32495781,3002859,40440879,144480,53692,6706001,9890050,1548777,46104,663492,2600640
98,144480,32315.0,109870864,9862482,32058096,2942415,39903303,144480,53558,6574638,9726736,1532123,46204,665433,2600640
99,144480,32229.7,109580606,9630126,32029195,2953645,39860098,144480,53533,6602189,9672229,1535900,46285,666331,2600640
100,144480,32587.6,110797330,9924600,32685469,2950817,40026718,144480,53790,6718582,10119785,1557518,46447,668579,2600640
101,144480,39806.4,135341321,10480738,38269846,4730368,52489525,144480,53991,7963874,11886958,2006991,46587,670852,2600640
102,144480,36758.8,124979552,9898256,34158159,4524702,48934459,144480,53832,6817602,10606401,1635666,46699,673043,2600640
103,144480,36979.7,125730544,9869146,34121888,4620676,49442276,144480,53729,6801583,10485815,1631455,46771,674013,2600640
104,144480,32981.5,112136828,9811278,32710201,3088580,40782731,144480,53571,6727946,9999274,1554871,46818,674485,2600640
105,144480,57352.9,194996901,14773850,63085867,6330027,71999592,144480,54073,14835670,20942921,3807947,46931,676067,2600640
106,144480,49283.9,167562302,14172008,51143116,5102201,60166555,144480,53786,10049910,18522170,2138114,47103,678691,2600640
107,144480,33998.4,115594356,10111702,33821951,3284606,41746104,144480,53631,6994084,10412222,1593913,47222,680593,2600640
108,144480,33166.3,112764808,9874688,33058346,3033224,41013751,144480,53775,6841006,10064476,1663550,47310,681594,2600640
109,144480,38067.2,129428622,10169230,35534686,4472212,50747719,144480,53824,7205591,10955101,1732848,47435,683117,2600640
110,144480,32688.2,111139064,9738552,32477530,3089735,40313928,144480,53471,6730961,9806833,1541111,47540,685288,2600640
111,144480,32429.1,110258702,9676128,32397184,2945860,39954320,144480,53801,6691663,9771040,1652567,47600,685984,2600640
112,144480,32666.9,111066950,9717302,32514154,2996899,40416445,144480,53872,6725090,9928522,1549954,47687,687638,2600640
113,144480,32838.3,111649750,9759462,32803606,3004843,40502540,144480,53451,6824947,9885400,1558414,47760,689212,2600640
114,144480,33816.7,114976678,9740388,33002256,3414967,42427768,144480,53722,6749029,10073173,1554122,47866,690999,2600640
115,144480,37386.3,127112998,10002494,34602096,4452738,49927655,144480,53595,7005432,10620898,1684648,47967,691576,2600640
116,144480,32565.0,110720422,9705130,32363443,2953241,40024214,144480,53591,6700501,9780015,1560505,48076,693761,2600640
117,144480,32910.6,111895496,9909232,32871368,2988264,40564209,144480,53426,6788332,10180238,1536112,48145,695585,2600640
118,144480,36850.4,125290751,9821376,34226914,4380045,49370172,144480,53512,6903243,10547399,1637580,48207,696130,2600640
