frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
96,144480,43794.3,148900190,12823406,45787636,4422071,51603619,144480,53701,9926843,14916591,2335421,46325,666195,2600640,0,0
97,144480,33041.5,112340794,9947380,33325030,2986223,39633340,144480,53759,7118768,9830875,1593689,46420,667989,2600640,0,0
98,144480,34284.7,116567300,10080864,35154293,3254371,40761885,144480,53637,7536891,10690309,1703861,46575,670270,2600640,0,0
99,144480,32887.3,111815868,9831168,33440703,2902307,39224211,144480,53821,7168410,9827029,1592255,46665,671411,2600640,0,0
100,144480,32502.1,110506506,9763678,32996703,2842254,38705663,144480,53630,7201474,9598049,1565148,46763,672519,2600640,0,17069272033230298165
101,144480,32012.1,108840460,9763984,32422643,2759989,38233303,144480,53359,6992293,9469159,1567886,46828,673744,2600640,0,0
102,144480,36271.2,123321641,9866052,36253188,4138192,46395338,144480,53476,7493237,10276513,1790447,46888,675104,2600640,0,0
103,144480,33587.2,114195908,10113544,34057659,2978862,40495791,144480,53778,7294360,9913998,1645035,46936,675832,2600640,0,0
104,144480,32035.9,108922026,9565866,32526858,2810381,38441459,144480,53827,6967443,9549110,1551732,47075,677582,2600640,0,0
105,144480,32080.9,109074176,9738824,32582336,2811441,38345558,144480,53654,6979672,9421566,1608145,47195,679428,2600640,0,0
106,144480,32587.8,110798146,9771838,32929686,2848989,38950761,144480,53986,7057353,9675630,1567118,47355,682444,2600640,0,0
107,144480,33169.9,112777116,9903554,33735453,2895388,39737320,144480,53879,7144707,10123498,1611080,47391,683465,2600640,0,0
108,144480,32344.6,109971130,9706082,32678111,2831239,38476102,144480,53690,7024358,9542651,1562755,47422,683498,2600640,0,0
109,144480,40644.2,138189736,11201640,40991883,4906412,51078948,144480,53451,8979179,11989398,2089169,47525,685390,2600640,0,0
110,144480,32397.2,110149970,9695406,32860724,2793151,38712581,144480,53381,7150460,9560987,1660076,47574,686225,2600640,0,0
111,144480,33344.7,113371062,10278370,34003704,2885053,39652260,144480,53973,7225699,10262360,1618707,47641,687030,2600640,0,0
112,144480,50824.6,172803684,14698608,52593155,5231070,60912653,144480,53616,11489184,17868318,2168771,47711,688246,2600640,0,0
113,144480,43972.6,149505108,12856488,44432892,4647233,52491367,144480,53836,9331072,14647183,1917219,47765,689383,2600640,0,0
114,144480,49443.4,168106511,13780234,51586652,5690505,60434615,144480,53810,12047932,16502626,2592638,47858,691220,2600640,0,0
115,144480,46649.3,158604897,13378252,48672292,4947069,57006046,144480,53763,11391481,15173967,2401166,47994,692913,2600640,0,0
116,144480,33453.3,113737412,9739198,33591015,3255964,41149155,144480,53825,7137950,9723108,1660173,48094,694533,2600640,0,0
117,144480,32638.4,110969812,9949250,33359874,2816823,38805300,144480,53798,7339714,9812583,1602152,48168,696150,2600640,0,0
118,144480,32287.2,109775630,9750248,32701786,2824957,38557008,144480,53612,7090596,9507170,1599286,48323,698642,2600640,0,0
119,144480,42753.8,145359452,11486152,44765182,4638151,53117846,144480,53658,10014228,13939774,2379899,48424,699856,2600640,0,0
120,144480,53315.9,181274500,14369352,58249047,5694198,63920904,144480,53598,14466455,19086665,2908372,48431,700268,2600640,0,0
121,144480,33336.4,113342502,9776496,34134547,3239226,40067653,144480,53835,7233221,10029249,1665072,48471,700626,2600640,0,0
122,144480,32947.2,112019736,9929836,33666271,2863548,39157630,144480,53564,7222257,9952306,1639503,48574,702728,2600640,0,0
123,144480,56190.5,191045074,15107526,60867349,6206844,67853350,144480,53656,14838714,20411659,2984635,48659,704748,2600640,0,0
124,144480,33290.5,113187972,9703600,33602549,3206036,40682026,144480,53751,7193223,9708663,1657076,48704,705072,2600640,0,0
125,144480,34692.4,117953104,10388564,35198931,3129400,41186999,144480,53881,7487153,10753577,1638953,48771,706872,2600640,0,0
126,144480,52316.4,177875930,15402306,52765205,5661487,61968109,144480,53746,10364056,18694683,1973952,48837,707501,2600640,0,0
127,144480,46137.3,156865936,13577322,47046694,4692345,54709383,144480,53770,9415920,16284300,1902808,48902,708293,2600640,0,0
128,144480,52797.5,179510752,15389148,53636171,5599559,62749018,144480,53459,10550247,19096372,1954457,48929,709014,2600640,0,0
129,144480,53300.8,181219958,15816726,54165596,5754301,63431217,144480,53714,11227997,18960269,2134836,49054,710663,2600640,0,0
130,144480,35628.3,121135676,10198300,35595320,4209755,44263267,144480,53829,7458738,10142776,1702947,49106,711845,2600640,0,0
131,144480,32864.2,111737124,10014700,33459699,2870310,38994026,144480,53566,7292485,9845938,1607854,49161,712791,2600640,0,0
132,144480,55883.3,190000547,15148802,61341550,6029318,67235524,144480,53789,14932603,20352522,2989012,49237,714023,2600640,0,0
133,144480,36888.0,125418763,9872478,38093397,3868820,46441735,144480,53548,8162605,11206548,2011537,49315,715752,2600640,0,0
134,144480,34953.1,118840574,9757354,34663254,3956682,44194238,144480,53534,7169938,9643985,1625315,49395,717277,2600640,0,0
135,144480,32200.0,109479286,9733180,32662342,2804394,38367741,144480,53448,7099462,9502888,1566433,49440,718268,2600640,0,0
136,144480,32161.2,109347468,9656986,32891011,2797694,38186216,144480,53739,7211178,9483251,1568856,49527,718817,2600640,0,0
137,144480,34995.2,118983340,10302272,36326331,3572876,41457446,144480,53842,8054654,10884574,1896437,49590,720364,2600640,0,0
