frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
227,144480,31200.8,106077644,9905217,30017368,2939619,44653474
228,144480,36894.5,125435718,11672595,37839330,3701813,52427909
229,144480,35082.5,119276308,11092831,36494494,3391982,49477336
230,144480,30740.4,104513127,9792595,29127786,2881180,44172420
231,144480,29995.8,101981571,9802806,28943732,2875262,42601874
232,144480,30982.9,105337440,10030317,30139545,3005117,44131173
233,144480,31569.7,107332902,10048838,30215332,2967271,45346195
234,144480,30991.3,105366540,9880432,29667316,2914426,44395843
235,144480,31787.3,108071144,10084569,31344565,2946800,44824339
236,144480,37058.5,125993591,11692118,38737717,3507706,51962214
237,144480,32555.3,110684212,10271510,32011202,2980083,45797939
238,144480,31864.7,108335894,10158372,31521206,3004989,45098797
239,144480,30609.1,104065666,9798297,29430060,2899736,43730005
240,144480,31545.7,107251940,10325387,31031797,3158904,44875465
241,144480,30514.3,103743500,9867551,29052365,2900458,43797204
242,144480,32511.7,110536122,10114432,30875903,3112867,46823814
243,144480,33980.6,115528495,11509982,32409068,3058854,48182505
244,144480,33201.3,112880068,10132399,33432751,2995584,46728434
245,144480,32540.0,110631835,10530064,31430742,3121542,46649987
246,144480,31996.7,108783643,10261568,31009849,3103704,45666596
247,144480,31015.2,105447977,9959495,30128964,2977285,44138162
248,144480,33660.8,114441818,10306874,35913981,3077136,46337420
249,144480,31954.6,108640438,10659879,31325850,3310874,45062972
250,144480,31150.9,105908337,9829328,30354710,2910025,44124632
251,144480,31301.6,106421870,10932356,30105334,2920077,44419071
252,144480,30930.2,105158563,9823634,29901085,2917982,44012497
253,144480,30103.9,102349016,9777381,28857966,2904150,43239744
254,144480,33285.3,113164648,10205510,32893791,2945010,47688571
255,144480,31570.6,107335784,9965977,30154186,2989707,45365372
256,144480,31054.3,105579721,9946373,29809865,2932349,44358701
257,144480,32229.0,109574928,10125650,31344134,3059359,46217600
258,144480,30985.3,105344883,9927837,29703400,2930814,44296219
259,144480,32920.1,111924189,10649503,32304057,3180734,46918599
260,144480,31442.4,106899264,10053811,30355067,2931768,44893966
261,144480,32402.0,110162907,10281636,31338668,3027220,46404419
262,144480,31281.4,106352354,9897485,30162586,2885185,44557159
263,144480,31385.6,106706994,9869357,31107836,2922395,44331317
264,144480,30211.1,102713354,9851157,28622180,2903208,43214872
265,144480,29431.3,100062788,9720793,28046850,2844947,41956716
266,144480,30214.3,102724676,9797767,28931941,2894873,43076306
267,144480,30042.5,102140760,9813716,28969506,2840144,42680790
268,144480,33931.5,115362354,10633191,33616077,3169458,48459076
269,144480,35656.6,121227993,11399270,36336628,3476975,50522376
270,144480,31024.7,105479526,10035211,29601565,3017082,44391363
271,144480,31133.2,105848837,10142231,29995226,3280844,44211610
272,144480,33846.7,115074085,10436745,33245916,3231086,48615561
273,144480,31847.7,108275856,9859948,30414490,2917091,45857170
274,144480,34062.7,115807400,10730781,34047487,3255957,48261593
275,144480,36967.3,125683278,11850575,37791686,3661623,50857432
276,144480,34174.0,116184522,10847866,33936219,3099161,48262888
277,144480,40661.5,138243657,12630207,43454653,3966716,56879988
278,144480,32535.2,110615705,10354320,32554800,3077345,45869706
279,144480,43626.7,148326870,14318753,47334519,4540039,61397051
280,144480,32125.4,109221875,10061313,31560828,2938154,45667158
281,144480,32089.2,109099265,9984882,32132747,2930938,45176970
282,144480,31840.0,108250781,10120278,31429217,2960969,45125382
283,144480,35443.4,120503038,11318427,35933946,3446401,50033941
284,144480,31162.0,105944575,10012737,30115502,2928656,44306090
285,144480,32014.3,108844336,10000348,30880216,2950625,45925418
286,144480,32171.8,109380343,10137383,31612011,2968804,45919812
287,144480,31635.5,107555903,9980974,31063392,2913934,44743727
288,144480,31271.9,106319272,10013605,30200121,2940246,44465061
289,144480,36089.2,122698078,12255503,36625207,3679654,51045600
290,144480,31149.7,105902616,9887743,29879280,2893363,44420237
291,144480,31709.3,107807877,9898283,30926079,2935448,45140511
292,144480,37456.0,127346994,11616398,39570712,3518957,52472389
293,144480,33746.8,114734833,10558959,33476083,3143104,47950070
294,144480,34256.3,116465606,10569071,35506438,3177398,47283174
295,144480,32708.4,111204273,10309178,31330532,3305017,46560908
296,144480,34493.4,117273208,12002849,33316657,3299234,49330194
297,144480,33797.4,114906706,10633913,34690561,3131230,47286868
298,144480,31767.3,108004805,10232497,30839700,2964324,44924419
299,144480,32466.5,110379742,10074313,32107120,2905917,46040273
300,144480,32652.5,111013802,10038502,31936028,2929509,46468863
301,144480,32319.7,109882999,10183778,31588753,2953877,45951340
302,144480,30672.8,104281828,9797736,29612799,2953237,43609035
303,144480,31795.9,108101263,9881168,30833784,2928206,45396786
304,144480,30680.3,104309249,9794230,29379442,2904904,43896467
