frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
65,144480,30232.2,102786012,9464648,26835583,2687747,38662014,144480,53865,5272839,6146365,1686442,42256,601116,2600640,33052,0
66,144480,29670.1,100874617,9242492,26277746,2666594,37721546,144480,53688,5095950,5830187,1638259,42460,603415,2600640,33030,0
67,144480,28875.6,98177312,9155112,24792014,2649729,37129031,144480,53563,4811268,5417885,1545485,42574,604877,2600640,32864,0
68,144480,29817.5,101376882,9354964,26204942,2682020,38254369,144480,53834,5122598,5948522,1665240,42678,607061,2600640,32880,0
69,144480,29659.4,100841076,9238922,26114733,2672427,37887778,144480,53826,5172867,5933059,1631215,42832,610399,2600640,32780,0
70,144480,30023.8,102076772,9472094,26447276,2693042,38480231,144480,53565,5221289,5959138,1673413,42930,611683,2600640,32755,0
71,144480,29580.2,100569824,9309846,25994009,2681615,37844153,144480,53849,5043958,5848726,1653134,43079,613771,2600640,32872,0
72,144480,29093.0,98915622,9214476,25208674,2658671,37134971,144480,53819,4888059,5639214,1588584,43227,616650,2600640,32527,0
73,144480,28821.1,97992012,9315898,24697827,2654145,36906799,144480,53353,4809185,5383110,1534492,43394,618585,2600640,32349,0
74,144480,32227.5,109571344,10190514,28880338,2905105,40733601,144480,53760,5488850,6564290,1725374,43505,620444,2600640,32192,0
75,144480,30370.3,103259054,10044688,25480346,3325542,38998786,144480,53755,4982341,5376838,1563692,43662,622368,2600640,32312,0
76,144480,29984.2,101945498,9625332,25753149,2831889,38281869,144480,53981,4901072,5606538,1555216,43753,624483,2600640,32246,0
77,144480,34421.3,117031944,9845312,28351698,4902981,47679672,144480,53440,5334917,5779321,1627247,43937,627885,2600640,31867,0
78,144480,31819.6,108186232,10098986,27383470,3210558,40984907,144480,53661,5220941,6072349,1673807,44112,630375,2600640,31880,0
79,144480,36574.8,124352246,11380412,30914365,3881025,46742299,144480,53552,5434180,7398172,1774073,44275,633371,2600640,31571,0
80,144480,35820.5,121789431,10138324,30311339,4938029,48803797,144480,53357,5634119,6458061,1720058,44379,634979,2600640,31379,0
81,144480,30144.5,102491164,9699078,25578688,2969472,38621652,144480,53666,4919603,5594897,1538091,44585,638450,2600640,31517,0
82,144480,34209.2,116310804,10033094,28409278,4760643,47023384,144480,53841,5423657,5933936,1642202,44704,640121,2600640,31692,0
83,144480,33981.8,115537950,9831712,27929267,4727004,47095911,144480,53409,5370875,5810114,1608460,44823,641988,2600640,31101,0
84,144480,29729.1,101078192,9598030,25361023,2739838,38106034,144480,53943,4856113,5616448,1534315,45003,644356,2600640,31326,0
85,144480,29723.1,101058302,9542644,25521156,2766771,38047072,144480,53840,4859378,5514508,1536254,45116,645972,2600640,31156,0
86,144480,34611.9,117679882,9938098,28868931,4847089,47821307,144480,53421,5498493,6199518,1650750,45255,648385,2600640,30771,0
87,144480,29820.1,101388170,9536966,25378932,2771196,38383484,144480,53725,4859403,5587869,1529595,45388,650585,2600640,30958,0
88,144480,30390.9,103328074,9743958,25929633,2858977,38835140,144480,53971,4925358,5810643,1552880,45499,651958,2600640,31020,0
89,144480,29735.6,101100224,9661882,25378734,2751908,38057563,144480,53500,4888496,5573887,1528709,45570,653626,2600640,30449,0
90,144480,29715.7,101033108,9589190,25449897,2743228,37980253,144480,53411,5016105,5572660,1522663,45639,655241,2600640,30348,0
91,144480,34815.9,118373754,9964176,29354194,4758618,47684595,144480,53820,5476804,6380437,1689219,45750,657716,2600640,30429,0
92,144480,33856.9,115112882,9935344,28332729,4529077,46287475,144480,53475,5398556,6067574,1596057,45956,660855,2600640,30113,0
93,144480,29876.7,101580236,9592522,25469471,2777995,38332411,144480,53463,4933331,5668168,1527239,46035,661941,2600640,30105,0
94,144480,29796.2,101303102,9585994,25426993,2757960,38219314,144480,53583,4906793,5672902,1526097,46136,663911,2600640,29920,0
95,144480,30046.6,102158214,9653156,25607056,2768320,38613614,144480,53418,4923818,5727021,1529934,46215,664845,2600640,29790,0
96,144480,31030.3,105502692,10200476,26609245,2985954,39355885,144480,53701,5039472,6005096,1581244,46325,666195,2600640,29958,0
97,144480,35053.1,119180234,9833956,29165979,5070031,48609342,144480,53759,5499541,6279045,1631146,46420,667989,2600640,29803,0
98,144480,35081.5,119276698,9942518,29519872,4983450,48336573,144480,53637,5603370,6346540,1773871,46575,670270,2600640,29587,0
99,144480,34858.8,118519614,9794380,29139788,5046499,48236551,144480,53821,5572228,6362864,1646023,46665,671411,2600640,29604,0
