frame,moved,max_cheb,max_elem,gt1,gt2,gt4,gt8,gt16,gt32,gt64
181,32966,30.06,WATR,6731,4214,2165,1069,398,0,0
182,32592,30.01,WATR,5881,3436,1865,985,422,0,0
183,31295,30.02,WATR,5693,3228,1471,731,319,0,0
184,30160,30.01,WATR,5283,2878,1142,521,224,0,0
185,29423,30.00,WATR,4935,2621,1028,354,151,0,0
186,28902,30.08,WATR,4710,2277,902,366,169,0,0
187,28119,30.01,WATR,4805,2439,851,305,141,0,0
188,27718,30.00,WATR,4695,2442,817,261,96,0,0
189,27712,30.02,WATR,4673,2360,867,300,110,0,0
190,27433,30.00,WATR,4428,2083,747,258,118,0,0
191,27089,29.94,WATR,4799,2412,812,260,108,0,0
192,27149,30.05,WATR,4533,2261,835,260,101,0,0
193,27206,30.03,WATR,4558,2249,849,261,105,0,0
194,27235,30.24,WATR,4481,2181,781,254,100,0,0
195,27232,30.00,WATR,4395,2160,819,287,138,0,0
196,26988,30.00,WATR,4534,2445,790,228,94,0,0
197,27106,30.00,WATR,4651,2449,878,250,99,0,0
198,27323,30.02,WATR,3846,1828,645,217,81,0,0
199,27337,30.04,WATR,3971,1836,685,204,81,0,0
200,27228,30.15,WATR,4245,2123,750,246,121,0,0
201,27192,30.10,WATR,4473,2309,765,226,106,0,0
202,27534,30.00,WATR,3954,1823,638,208,87,0,0
203,28080,30.00,WATR,4185,1944,690,224,96,0,0
204,28015,30.13,WATR,4475,2353,746,211,87,0,0
205,28072,30.00,WATR,4765,2690,989,287,103,0,0
206,28370,30.00,WATR,4055,2000,711,181,67,0,0
207,28183,30.15,WATR,4487,2173,683,209,85,0,0
208,28371,30.24,WATR,4141,2027,745,233,88,0,0
209,28194,30.00,WATR,4982,2200,685,190,82,0,0
210,28286,30.00,WATR,4889,2208,770,204,74,0,0
211,28198,30.00,WATR,4637,2231,731,196,82,0,0
212,28315,30.00,WATR,4349,2126,668,178,67,0,0
213,28277,30.00,WATR,4892,2544,1009,330,155,0,0
214,28340,30.00,WATR,4385,2003,682,215,78,0,0
215,28262,30.00,WATR,4356,2058,736,221,90,0,0
216,28067,30.00,WATR,4647,2266,776,220,97,0,0
217,28270,30.06,WATR,5216,2560,932,295,105,0,0
218,28276,30.01,WATR,4291,1866,699,206,70,0,0
219,28028,29.00,WATR,4818,2512,783,214,76,0,0
220,28190,30.00,WATR,4836,2463,906,284,112,0,0
221,28166,30.00,WATR,4225,2023,740,204,75,0,0
222,28225,30.01,WATR,4241,1900,668,168,58,0,0
223,28144,30.00,WATR,4329,2083,703,186,67,0,0
224,27887,30.01,WATR,5193,2933,996,274,89,0,0
225,28168,30.00,WATR,4611,2316,818,199,64,0,0
226,28238,29.61,WATR,4439,2128,796,236,84,0,0
227,28228,30.00,WATR,4295,2045,756,202,77,0,0
228,28009,29.87,WATR,4665,2504,823,246,83,0,0
229,28206,30.01,WATR,4797,2452,903,251,83,0,0
230,28362,30.00,WATR,4901,2077,815,220,74,0,0
231,28143,29.02,WATR,4434,2147,707,179,60,0,0
232,28387,29.99,WATR,4852,2247,789,169,60,0,0
233,28359,30.29,OIL,5519,2183,804,219,87,0,0
234,28363,30.04,WATR,4945,2184,815,193,74,0,0
235,28391,30.00,WATR,4306,2021,710,179,76,0,0
236,28435,30.00,WATR,3939,1972,687,189,60,0,0
237,28467,30.01,WATR,4424,1899,691,186,77,0,0
238,28160,30.00,WATR,4031,1891,650,182,91,0,0
239,28122,30.00,WATR,5259,3199,1076,238,75,0,0
240,28452,30.00,WATR,4471,2302,851,241,86,0,0
241,27852,30.00,WATR,4583,1938,671,170,68,0,0
242,26982,30.00,WATR,3952,1957,661,181,68,0,0
243,26523,30.01,WATR,5222,2932,1129,292,83,0,0
244,26301,30.00,WATR,4382,2375,846,191,65,0,0
245,25759,30.00,WATR,5124,2279,812,206,80,0,0
246,25377,30.05,WATR,4364,2192,817,224,85,0,0
247,24920,29.00,WATR,4298,2181,796,169,62,0,0
248,24544,30.19,WATR,4064,2114,798,229,69,0,0
249,24085,120.15,OIL,4363,2292,866,230,73,1,1
250,23506,179.00,OIL,4221,2112,845,283,112,5,2
251,22816,148.00,OIL,4173,2112,807,314,129,7,3
252,22167,132.99,OIL,4134,2075,906,376,162,9,3
253,21431,112.93,OIL,3999,2070,894,395,163,7,5
254,20697,101.01,OIL,3790,1992,902,423,224,15,3
255,19882,163.00,OIL,3564,1768,766,357,152,10,3
256,19180,81.00,OIL,3559,1851,828,378,166,12,2
257,18483,142.00,OIL,3460,1764,861,397,202,15,6
258,17763,91.00,OIL,3354,1691,798,390,176,11,1
259,17127,93.00,OIL,3358,1671,759,367,169,12,4
260,16525,85.00,OIL,3266,1693,835,419,187,9,5
261,15941,107.00,OIL,3256,1647,829,420,194,12,4
262,15263,189.00,OIL,3096,1545,770,389,182,16,5
263,14620,127.00,OIL,2942,1457,722,367,146,11,4
264,13992,67.00,OIL,2873,1458,733,366,158,3,1
265,13378,154.00,OIL,2739,1413,710,368,181,12,2
266,12743,120.00,OIL,2638,1363,708,359,150,10,3
267,12172,69.00,OIL,2517,1320,700,371,155,5,1
268,11551,105.00,OIL,2453,1290,664,331,151,9,3
269,10956,83.00,OIL,2257,1169,632,340,152,6,1
270,10293,87.00,OIL,2246,1174,621,321,134,8,1
271,9752,115.00,OIL,2091,1116,605,319,166,13,6
272,9158,105.00,OIL,2010,1097,623,338,154,8,2
273,8507,161.00,OIL,2000,1086,639,357,160,5,2
274,7905,77.00,OIL,1827,952,508,290,135,9,2
275,7321,123.00,OIL,1793,1007,612,346,159,15,8
276,6630,77.00,OIL,1612,906,575,342,153,17,2
277,6034,160.00,OIL,1498,874,551,328,150,7,3
278,5369,61.00,OIL,1393,799,507,312,124,5,0
279,4847,100.00,OIL,1330,810,538,337,150,8,1
280,4280,110.00,OIL,1304,808,574,362,167,6,1
281,3708,94.00,OIL,1113,700,495,301,120,8,1
282,3145,76.00,OIL,945,652,459,294,135,4,1
283,2725,134.00,OIL,887,660,464,308,159,13,8
284,2364,131.00,OIL,848,670,495,342,159,15,4
285,2034,81.00,OIL,816,655,523,353,159,9,2
286,1748,134.00,OIL,723,574,436,276,131,6,3
287,1494,159.00,OIL,659,521,393,277,134,7,2
288,1370,128.00,OIL,711,589,470,307,149,6,4
289,1294,119.00,OIL,722,628,500,353,183,8,5
290,1225,116.00,OIL,756,653,515,361,176,15,6
291,1147,55.00,OIL,751,659,523,378,183,8,0
292,1107,116.00,OIL,781,686,567,395,210,15,4
293,1004,124.00,OIL,688,594,455,327,156,8,3
294,1007,71.00,OIL,741,651,537,400,211,6,1
295,1029,81.00,OIL,754,653,536,403,193,10,3
296,1018,114.00,OIL,756,670,557,390,201,16,6
297,1042,105.00,OIL,804,725,610,409,200,14,4
298,1063,89.00,OIL,823,732,582,416,191,16,4
299,1040,97.00,OIL,824,729,589,421,212,13,6
300,1055,101.00,OIL,825,729,628,457,202,9,2
301,1022,98.00,OIL,806,711,595,428,208,10,4
302,998,76.00,OIL,783,689,580,396,189,13,2
303,1040,69.00,OIL,835,733,590,418,209,10,3
304,963,87.00,OIL,739,645,510,360,174,11,1
305,912,139.00,OIL,700,611,489,344,162,10,4
306,900,104.00,OIL,688,611,483,325,160,3,2
307,938,108.00,OIL,736,656,537,359,175,7,2
308,980,93.00,OIL,761,673,573,406,195,6,2
309,968,75.00,OIL,767,675,546,388,202,9,1
310,874,106.00,OIL,693,607,499,345,180,4,4
311,891,77.00,OIL,711,630,526,375,192,13,4
312,935,106.00,OIL,750,661,539,370,184,17,3
313,949,125.00,OIL,791,701,574,387,176,7,5
314,951,125.00,OIL,776,699,562,389,185,15,7
315,914,61.00,OIL,754,679,569,403,192,7,0
316,905,64.00,OIL,750,642,532,370,188,9,0
317,925,68.00,OIL,766,692,566,388,188,8,2
318,902,86.00,OIL,754,660,548,368,195,7,2
319,927,52.00,OIL,766,682,561,400,204,4,0
320,884,59.00,OIL,722,649,526,376,185,5,0
321,925,119.00,OIL,763,684,554,380,180,9,2
322,991,99.00,OIL,826,735,609,433,207,14,3
323,949,134.00,OIL,808,710,590,412,198,9,1
324,922,58.00,OIL,769,679,549,383,173,7,0
325,834,103.00,OIL,675,591,505,371,193,10,8
326,888,75.00,OIL,734,656,551,401,190,6,2
327,899,85.00,OIL,740,648,527,392,199,10,4
328,877,62.00,OIL,733,653,540,394,200,10,0
329,917,40.00,OIL,775,690,584,400,191,3,0
