frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
276,20565.63,9026.15,9022.78,1572.90,674.32,0.06,834.06,7446.89,1.66
277,20306.75,8997.01,8993.57,1599.12,664.61,0.08,870.93,7391.50,1.64
278,20098.13,9020.08,9016.66,1647.14,675.14,0.07,909.60,7366.62,1.60
279,19851.66,9023.06,9019.60,1647.95,681.35,0.07,904.04,7368.79,1.58
280,19743.17,9135.65,9132.16,1675.01,683.28,0.08,929.05,7454.28,1.58
281,20319.59,9261.94,9258.49,1742.98,695.07,0.09,984.86,7512.62,1.55
282,20746.81,9271.24,9267.86,1749.94,702.64,0.09,984.22,7515.09,1.51
283,20385.43,9177.41,9174.06,1746.98,719.32,0.09,964.09,7424.31,1.49
284,20224.11,9174.80,9171.43,1742.56,719.61,0.09,960.56,7426.12,1.48
285,20138.37,9321.57,9318.22,1739.54,722.04,0.08,954.89,7575.96,1.46
286,20461.08,9240.48,9237.15,1711.97,714.95,0.08,934.49,7522.50,1.44
287,20280.41,9231.36,9228.00,1706.70,712.04,0.09,927.78,5.44,7518.64,1.43
288,20089.29,9271.49,9268.19,1714.17,713.61,0.08,921.81,16.91,7551.35,1.42
289,19777.09,9226.58,9223.19,1724.06,704.95,0.08,934.17,24.24,7496.47,1.41
290,19745.32,9373.52,9370.15,1744.84,707.18,0.08,953.51,7622.63,1.41
291,20200.21,9388.65,9385.27,1758.58,716.38,0.09,959.92,7624.04,1.39
292,20102.49,9541.83,9538.47,1788.55,714.78,0.08,992.23,7747.27,1.40
293,20570.99,9610.82,9607.47,1785.80,724.72,0.09,980.55,7819.03,1.39
294,21123.98,9706.77,9703.41,1750.35,713.67,0.08,958.30,7950.43,1.39
295,21557.95,9735.73,9732.35,1750.76,714.22,0.08,959.85,7978.92,1.41
296,21411.41,9896.33,9892.95,1744.57,715.34,0.08,953.98,8145.60,1.50
297,21792.78,9966.22,9962.75,1758.15,716.96,0.08,966.43,8201.76,1.55
298,22063.60,9845.78,9842.32,1752.83,708.09,0.08,971.65,8086.70,1.51
299,21820.82,9818.03,9814.59,1780.26,706.02,0.09,996.45,6.16,8031.59,1.50
300,21544.05,9803.74,9800.29,1764.69,703.88,0.09,984.73,8032.88,1.48
301,21313.12,9865.94,9862.45,1793.60,711.20,0.09,1007.16,8066.16,1.45
302,21966.06,10100.36,10096.92,1767.17,711.52,0.08,981.17,8327.09,1.44
303,22160.02,10063.30,10059.89,1731.47,705.21,0.08,953.52,8325.78,1.44
304,21785.42,9986.89,9983.46,1707.25,698.45,0.08,937.79,8273.53,1.48
305,21401.36,9845.20,9841.74,1680.76,687.49,0.09,923.89,8158.24,1.51
306,21186.62,9792.65,9789.21,1664.78,683.82,0.09,913.06,8121.75,1.47
307,20928.42,9770.72,9767.19,1662.64,676.32,0.09,914.36,5.49,8101.69,1.62
308,21390.18,9713.33,9709.85,1645.73,676.94,0.09,897.65,8061.31,1.60
309,21041.47,9602.95,9599.52,1643.65,680.99,0.10,893.03,7953.09,1.58
310,20862.92,9595.27,9591.86,1674.52,690.57,0.11,914.02,7914.60,1.55
311,20602.35,9596.16,9592.77,1693.78,690.12,0.10,935.10,7896.28,1.54
312,20314.63,9567.62,9564.27,1673.08,682.10,0.10,923.95,7888.52,1.52
313,20018.16,9486.26,9482.90,1674.79,678.70,0.10,930.47,7805.45,1.50
314,20034.38,9651.84,9648.51,1719.87,676.37,0.10,978.11,7926.01,1.47
315,20434.65,9659.31,9656.06,1685.31,673.60,0.09,947.30,7968.12,1.45
316,20183.36,9663.21,9660.04,1665.91,677.22,0.09,924.54,7991.59,1.41
317,19979.56,9672.22,9669.06,1647.50,667.71,0.09,916.75,8018.98,1.43
318,19675.25,9601.20,9598.13,1623.69,662.52,0.08,899.49,7971.91,1.39
319,19435.43,9504.51,9501.32,1608.33,655.99,0.08,891.80,7890.45,1.42
320,19258.78,9433.60,9430.49,1604.36,666.02,0.10,878.76,7823.60,1.43
321,19033.95,9332.18,9329.12,1587.45,658.54,0.10,870.44,7739.18,1.40
322,18855.83,9235.82,9232.81,1576.86,656.72,0.11,862.60,7653.50,1.38
323,18652.16,9107.52,9104.53,1555.52,653.98,0.10,845.04,7546.59,1.36
324,19342.09,9055.05,9052.08,1573.40,645.08,0.11,872.67,7476.27,1.34
325,19155.20,9012.47,9009.47,1582.32,638.65,0.11,882.16,6.67,7424.75,1.32
326,18981.65,8977.66,8974.61,1598.50,642.30,0.12,895.40,7373.73,1.32
327,18789.47,8931.19,8928.14,1611.73,635.99,0.12,914.85,7314.04,1.31
328,18766.85,9026.33,9023.28,1604.51,642.03,0.12,897.04,5.44,7416.41,1.31
329,19479.66,9224.90,9221.84,1597.74,646.69,0.12,886.92,7621.71,1.33
330,19868.23,9225.39,9222.34,1578.86,637.45,0.12,877.66,7641.04,1.37
331,19770.18,9347.10,9344.06,1594.50,650.60,0.12,879.51,7747.10,1.38
332,20140.28,9248.25,9245.22,1591.64,649.61,0.11,878.60,7651.13,1.38
333,19900.69,9145.03,9142.00,1572.33,640.66,0.10,869.52,7567.21,1.39
334,19755.25,9119.32,9116.27,1557.62,645.24,0.10,850.43,7556.24,1.36
335,19407.29,8964.55,8961.56,1522.98,637.17,0.09,824.97,7436.24,1.32
